Period,Cycle_Number,velocity,experiment_number,position,displacement,smoothed_displacement
300.688,1811,160.0,6,0,0.0001995399999999,0.000174598
601.625,3053,160.0,6,0,0.0001995374999999,0.000174595
902.391,4288,160.0,6,0,0.000194555,0.0001755949999999
1203.36,5530,160.0,6,0,0.00020702,0.0001785889999999
1503.797,6766,160.0,6,0,0.000207025,0.000179588
1804.203,8003,160.0,6,0,0.0001945525,0.000173602
2104.875,9241,160.0,6,0,0.00019705,0.0001775919999999
2405.219,10477,160.0,6,0,0.0002020349999999,0.000179586
2705.735,11712,160.0,6,0,0.0001995425,0.00017859
3006.188,12949,160.0,6,0,0.0001995425,0.000178589
3306.828,14190,160.0,6,0,0.0001945549999999,0.000176593
3606.891,15425,160.0,6,0,0.0001995424999999,0.0001755959999999
3907.922,16664,160.0,6,0,0.0001970449999999,0.000175596
4208.735,17901,160.0,6,0,0.0001920599999999,0.000177592
4509.188,19136,160.0,6,0,0.00020453,0.000180585
4809.469,20375,160.0,6,0,0.0001995425,0.000177594
5109.813,21611,160.0,6,0,0.0001970499999999,0.0001755969999999
5410.657,22850,160.0,6,0,0.000202035,0.000176595
5711.469,24088,160.0,6,0,0.0001995424999999,0.0001805859999999
6011.735,25325,160.0,6,0,0.0002020349999999,0.000175596
6312.672,26563,160.0,6,0,0.0001945549999999,0.000176594
6613.344,27801,160.0,6,0,0.0002145024999999,0.000186569
6913.344,29034,160.0,6,0,0.0002045274999999,0.000181582
7214.141,30273,160.0,6,0,0.0002194975,0.0001785889999999
7514.953,31511,160.0,6,0,0.000207025,0.0001835789999999
7815.719,32750,160.0,6,0,0.00020204,0.0001765949999999
8116.188,33987,160.0,6,0,0.000207025,0.000175595
8416.563,35224,160.0,6,0,0.0001945499999999,0.000176592
8717.375,36463,160.0,6,0,0.0001970449999999,0.0001736
9017.563,37699,160.0,6,0,0.0002145074999999,0.000181584
9318.172,38935,160.0,6,0,0.0002145049999999,0.000183578
9618.922,40172,160.0,6,0,0.0002120099999999,0.0001865679999999
9919.391,41409,160.0,6,0,0.0001945524999999,0.000173602
10220.703,42648,160.0,6,0,0.00019954,0.0001755979999999
10521.672,43887,160.0,6,0,0.0002020375,0.000169611
10822.657,45129,160.0,6,0,0.0001995399999999,0.000175596
11123.172,46364,160.0,6,0,0.00020453,0.000176596
11424.125,47603,160.0,6,0,0.0001970449999999,0.000170608
11724.453,48840,160.0,6,0,0.00018707,0.0001676159999999
12024.985,50077,160.0,6,0,0.000192055,0.000163623
12325.547,51314,160.0,6,0,0.0001895675,0.000167615
12625.594,52548,160.0,6,0,0.0001895625,0.00016961
12926.313,53786,160.0,6,0,0.0001870675,0.000162626
13226.766,55026,160.0,6,0,0.0001795849999999,0.000157635
13527.547,56263,160.0,6,0,0.0001795874999999,0.0001636229999999
13827.782,57500,160.0,6,0,0.0001995425,0.000161628
14128.766,58736,160.0,6,0,0.0001845775,0.00016163
14429.313,59977,160.0,6,0,0.0001820849999999,0.000156642
