Period,Cycle_Number,velocity,experiment_number,position,displacement,smoothed_displacement
300.828,1972,160.0,3,0,0.0002319649999999,0.000206526
601.562,3211,160.0,3,0,0.0002045299999999,0.000178591
902.234,4449,160.0,3,0,0.0002020375,0.0001755979999999
1202.812,5687,160.0,3,0,0.0001920575,0.0001716039999999
1503.046,6921,160.0,3,0,0.00019954,0.000181582
1803.703,8161,160.0,3,0,0.0002045299999999,0.000178591
2103.75,9395,160.0,3,0,0.000189565,0.0001666179999999
2404.515,10634,160.0,3,0,0.00020952,0.00017759
2704.765,11870,160.0,3,0,0.00019954,0.000174599
3005.25,13104,160.0,3,0,0.0001945549999999,0.0001745979999999
3305.437,14341,160.0,3,0,0.00019954,0.000175596
3606.406,15580,160.0,3,0,0.0002045275,0.000179587
3906.828,16818,160.0,3,0,0.00020952,0.0001825809999999
4207.078,18054,160.0,3,0,0.0002070225,0.000182579
4507.578,19291,160.0,3,0,0.00019206,0.0001706079999999
4808.046,20529,160.0,3,0,0.0001970474999999,0.0001726029999999
5108.187,21762,160.0,3,0,0.0002020325,0.000174598
5408.859,23001,160.0,3,0,0.0001920575,0.0001716059999999
5709.343,24239,160.0,3,0,0.0001945524999999,0.0001765959999999
6010.062,25475,160.0,3,0,0.000204525,0.0001735989999999
6311.0,26715,160.0,3,0,0.0001945524999999,0.000171605
6612.093,27953,160.0,3,0,0.0001970475,0.000173602
6913.062,29195,160.0,3,0,0.0002045299999999,0.000180585
7213.562,30430,160.0,3,0,0.0002070275,0.0001805869999999
7514.078,31668,160.0,3,0,0.0002020324999999,0.000179586
7814.328,32905,160.0,3,0,0.0001920575,0.0001775909999999
8114.5,34138,160.0,3,0,0.00020952,0.000179586
8415.546,35380,160.0,3,0,0.0001970475,0.0001736009999999
8715.906,36615,160.0,3,0,0.0001995424999999,0.0001765949999999
9016.89,37854,160.0,3,0,0.0001995424999999,0.000177592
9317.062,39088,160.0,3,0,0.0001945525,0.000173602
9618.171,40328,160.0,3,0,0.0001945524999999,0.0001736
9918.781,41567,160.0,3,0,0.00019455,0.0001735989999999
10219.421,42804,160.0,3,0,0.0001995425,0.000177592
10520.203,44043,160.0,3,0,0.0001970475,0.000175595
10820.64,45279,160.0,3,0,0.000202035,0.000180584
11121.484,46518,160.0,3,0,0.0001945549999999,0.000175595
11422.328,47756,160.0,3,0,0.0002095174999999,0.0001805849999999
11722.39,48992,160.0,3,0,0.0002070225,0.0001745959999999
12023.562,50229,160.0,3,0,0.0001970474999999,0.000177592
12323.625,51467,160.0,3,0,0.0001920575,0.000175595
12623.937,52702,160.0,3,0,0.00019705,0.0001775919999999
12924.828,53942,160.0,3,0,0.0001970474999999,0.000177591
13225.109,55178,160.0,3,0,0.0001995425,0.000169611
13525.843,56416,160.0,3,0,0.0001995425,0.000168613
13825.843,57651,160.0,3,0,0.0001920599999999,0.0001706099999999
14126.406,58888,160.0,3,0,0.0001945525,0.0001696089999999
14426.437,60123,160.0,3,0,0.0001945499999999,0.000167613
14726.578,61360,160.0,3,0,0.0001895625,0.000170608
15026.75,62594,160.0,3,0,0.00018707,0.0001616289999999
15326.765,63828,160.0,3,0,0.0001895649999999,0.000170611
15627.515,65068,160.0,3,0,0.0001945525,0.000171607
15928.468,66304,160.0,3,0,0.0001870725,0.000165619
16229.25,67544,160.0,3,0,0.00018707,0.0001656199999999
16529.484,68782,160.0,3,0,0.0001920575,0.0001716029999999
16829.843,70017,160.0,3,0,0.0001895625,0.0001676139999999
17130.796,71257,160.0,3,0,0.0001945525,0.000175595
17431.421,72493,160.0,3,0,0.0001970475,0.0001745989999999
17732.171,73733,160.0,3,0,0.000197045,0.000169609
18032.656,74967,160.0,3,0,0.000202035,0.000177592
18333.109,76203,160.0,3,0,0.0001970475,0.000173602
18633.875,77445,160.0,3,0,0.0001945525,0.000173602
18934.453,78682,160.0,3,0,0.000202035,0.0001726039999999
19234.906,79919,160.0,3,0,0.0001970474999999,0.0001706089999999
19535.015,81154,160.0,3,0,0.0001970499999999,0.000168615
19835.39,82390,160.0,3,0,0.0002020399999999,0.000172606
20135.953,83628,160.0,3,0,0.0001895649999999,0.0001706059999999
20436.265,84862,160.0,3,0,0.0001945549999999,0.0001696109999999
20736.906,86100,160.0,3,0,0.00018707,0.000168612
21037.343,87339,160.0,3,0,0.0001970475,0.000163625
21337.515,88574,160.0,3,0,0.0001995425,0.000170609
21637.75,89808,160.0,3,0,0.0001920625,0.000169607
21938.609,91048,160.0,3,0,0.0001870699999999,0.0001656199999999
22239.515,92287,160.0,3,0,0.0001895624999999,0.000166616
22539.953,93523,160.0,3,0,0.0001945575,0.000163628
22840.062,94759,160.0,3,0,0.0001970474999999,0.00016861
23140.328,95994,160.0,3,0,0.0001895675,0.000168612
23440.75,97230,160.0,3,0,0.0001970474999999,0.0001676159999999
23741.234,98468,160.0,3,0,0.0001970475,0.000167615
24041.906,99704,160.0,3,0,0.0001895675,0.000166617
24342.218,100944,160.0,3,0,0.00018957,0.000168613
24642.437,102179,160.0,3,0,0.0001970474999999,0.000171608
24942.921,103416,160.0,3,0,0.0001995424999999,0.0001716069999999
25242.968,104651,160.0,3,0,0.0002045275,0.000174596
25543.328,105887,160.0,3,0,0.0001920575,0.000166617
25843.39,107123,160.0,3,0,0.0001945525,0.0001736
26143.656,108359,160.0,3,0,0.0001920575,0.000171605
26444.484,109598,160.0,3,0,0.000189565,0.000171605
26744.859,110834,160.0,3,0,0.0001870699999999,0.000164621
27045.484,112072,160.0,3,0,0.000184575,0.0001646219999999
27345.781,113306,160.0,3,0,0.0001995374999999,0.000175595
27646.562,114545,160.0,3,0,0.0002020374999999,0.000176596
27947.031,115781,160.0,3,0,0.0001870699999999,0.000168614
28247.359,117019,160.0,3,0,0.00019954,0.000174599
28548.593,118259,160.0,3,0,0.000202035,0.000179588
28848.765,119492,160.0,3,0,0.0001945525,0.00016562
29149.015,120731,160.0,3,0,0.000192055,0.0001656189999999
29449.437,121965,160.0,3,0,0.0001920599999999,0.000170607
29749.625,123204,160.0,3,0,0.000192055,0.000169609
30050.062,124440,160.0,3,0,0.00018707,0.000166619
30350.234,125675,160.0,3,0,0.00019206,0.0001646239999999
30650.968,126912,160.0,3,0,0.0001920575,0.00016462
