Period,Cycle_Number,velocity,experiment_number,position,displacement,smoothed_displacement
300.469,1764,160.0,7,0,0.0001820825,0.000159632
600.61,2998,160.0,7,0,0.0001820825,0.000166616
900.828,4236,160.0,7,0,0.0001870699999999,0.000167617
1201.0,5468,160.0,7,0,0.0001770949999999,0.000159634
1502.188,6708,160.0,7,0,0.0001770924999999,0.000163623
1802.922,7950,160.0,7,0,0.0001795875,0.0001576389999999
2103.641,9185,160.0,7,0,0.0001745975,0.0001546439999999
2404.625,10425,160.0,7,0,0.0001746,0.0001516519999999
2704.922,11660,160.0,7,0,0.000172105,0.0001546449999999
3005.828,12901,160.0,7,0,0.000172105,0.000152649
3306.11,14137,160.0,7,0,0.0001745975,0.0001516529999999
3606.985,15375,160.0,7,0,0.0001770875,0.000151649
3907.031,16610,160.0,7,0,0.0001770924999999,0.000151651
4207.438,17848,160.0,7,0,0.0001696099999999,0.0001496549999999
4508.141,19086,160.0,7,0,0.0001721075,0.0001516529999999
4808.813,20320,160.0,7,0,0.0001745999999999,0.0001506539999999
5109.125,21560,160.0,7,0,0.00017959,0.0001536459999999
5409.75,22796,160.0,7,0,0.0001646274999999,0.0001486589999999
5710.422,24035,160.0,7,0,0.0001596325,0.000145666
6011.203,25272,160.0,7,0,0.0001621274999999,0.0001436689999999
6311.813,26509,160.0,7,0,0.0001696099999999,0.000154645
6612.922,27747,160.0,7,0,0.00016961,0.0001516509999999
6913.172,28986,160.0,7,0,0.00016462,0.000146663
7214.078,30225,160.0,7,0,0.00016462,0.0001426709999999
7514.719,31461,160.0,7,0,0.0001671175,0.000144668
7814.86,32695,160.0,7,0,0.0001696099999999,0.0001476579999999
8115.203,33933,160.0,7,0,0.000172105,0.000150653
8415.953,35169,160.0,7,0,0.00016961,0.000149657
8716.813,36408,160.0,7,0,0.0001696125,0.0001456649999999
9017.063,37646,160.0,7,0,0.0001571374999999,0.00014267
9317.625,38885,160.0,7,0,0.00016961,0.000142672
9618.344,40120,160.0,7,0,0.00016213,0.0001436699999999
9918.406,41358,160.0,7,0,0.0001621275,0.0001426719999999
10219.375,42596,160.0,7,0,0.00015714,0.000138681
10520.016,43835,160.0,7,0,0.00015714,0.000135689
10820.485,45069,160.0,7,0,0.0001721025,0.000138682
