Period,Cycle_Number,velocity,experiment_number,position,displacement,smoothed_displacement
26747.437,110416,160.0,2,0,0.0001970474999999,0.000166618
27048.141,111654,160.0,2,0,0.0001970449999999,0.000168611
27348.234,112889,160.0,2,0,0.0001920575,0.0001686129999999
27648.703,114126,160.0,2,0,0.00018956,0.000162623
27949.656,115365,160.0,2,0,0.0001795874999999,0.000160629
28249.687,116599,160.0,2,0,0.0001870725,0.0001626269999999
28549.734,117834,160.0,2,0,0.0001945524999999,0.0001626249999999
28850.25,119071,160.0,2,0,0.0001870674999999,0.000161627
29150.406,120306,160.0,2,0,0.00018707,0.0001626269999999
29450.484,121543,160.0,2,0,0.00018707,0.000161628
29751.359,122781,160.0,2,0,0.00018956,0.0001656199999999
30051.969,124016,160.0,2,0,0.0001945499999999,0.0001626249999999
30352.703,125257,160.0,2,0,0.0001920575,0.0001666149999999
30653.187,126494,160.0,2,0,0.000177095,0.0001556429999999
30953.297,127729,160.0,2,0,0.0001820825,0.000155642
31253.687,128967,160.0,2,0,0.00018208,0.0001606289999999
31553.859,130200,160.0,2,0,0.0001845774999999,0.00016063
31853.859,131436,160.0,2,0,0.0001820824999999,0.000161631
32154.734,132674,160.0,2,0,0.0001770949999999,0.000154648
32455.344,133912,160.0,2,0,0.0001820825,0.000156641
32755.422,135148,160.0,2,0,0.00018208,0.000160629
33055.844,136384,160.0,2,0,0.000184575,0.000159632
33356.5,137622,160.0,2,0,0.000189565,0.000167615
33657.172,138859,160.0,2,0,0.000182085,0.000158636
33957.922,140098,160.0,2,0,0.0001870724999999,0.00015664
34258.328,141332,160.0,2,0,0.0001770924999999,0.000158636
34559.156,142573,160.0,2,0,0.00018707,0.000163623
34859.953,143812,160.0,2,0,0.000187075,0.0001646209999999
35160.906,145049,160.0,2,0,0.0001795874999999,0.0001576369999999
35461.984,146287,160.0,2,0,0.0001746,0.000158636
35762.125,147526,160.0,2,0,0.00019206,0.00016562
36062.844,148764,160.0,2,0,0.00018707,0.0001646219999999
36362.969,150000,160.0,2,0,0.00018707,0.0001616289999999
36663.109,151233,160.0,2,0,0.0001870725,0.0001636259999999
36963.531,152471,160.0,2,0,0.0001845775,0.000162624
37263.531,153706,160.0,2,0,0.00018707,0.0001626279999999
37564.391,154945,160.0,2,0,0.0001820799999999,0.0001576369999999
37864.734,156180,160.0,2,0,0.0001895624999999,0.000167615
38165.203,157419,160.0,2,0,0.000184575,0.0001606319999999
38465.422,158652,160.0,2,0,0.000184575,0.0001566409999999
38766.297,159893,160.0,2,0,0.00019455,0.0001576369999999
39067.125,161131,160.0,2,0,0.0001895625,0.0001646189999999
39367.812,162369,160.0,2,0,0.0001895675,0.000161628
39668.422,163606,160.0,2,0,0.0001870725,0.000163625
39968.531,164841,160.0,2,0,0.0001845775,0.0001576369999999
40268.75,166078,160.0,2,0,0.0001795874999999,0.0001576369999999
40569.562,167317,160.0,2,0,0.0001746,0.000151651
40870.078,168553,160.0,2,0,0.0001795875,0.000158635
41170.781,169789,160.0,2,0,0.0001820824999999,0.0001596339999999
41471.406,171027,160.0,2,0,0.000184575,0.000161629
41771.984,172266,160.0,2,0,0.0001870699999999,0.000159634
42072.406,173503,160.0,2,0,0.0001721075,0.000154644
42372.719,174737,160.0,2,0,0.0001795874999999,0.000157638
42673.156,175976,160.0,2,0,0.00018208,0.000162622
42973.234,177209,160.0,2,0,0.000189565,0.000163622
43273.859,178449,160.0,2,0,0.000174595,0.000158634
43574.234,179685,160.0,2,0,0.0001895625,0.000158633
43874.969,180923,160.0,2,0,0.000189565,0.000164621
44175.047,182156,160.0,2,0,0.0001820824999999,0.0001586349999999
44475.344,183394,160.0,2,0,0.0001845774999999,0.0001606289999999
44775.625,184631,160.0,2,0,0.0001845774999999,0.0001596309999999
45076.234,185868,160.0,2,0,0.000182085,0.0001646239999999
45376.625,187105,160.0,2,0,0.0001970475,0.0001656179999999
45677.359,188342,160.0,2,0,0.00018208,0.000164621
45978.125,189580,160.0,2,0,0.0001920575,0.0001666179999999
46278.875,190817,160.0,2,0,0.0001820775,0.0001636219999999
46578.922,192053,160.0,2,0,0.00018208,0.0001616259999999
46878.969,193289,160.0,2,0,0.0001820824999999,0.000162626
47179.187,194525,160.0,2,0,0.000184575,0.000160631
47479.891,195763,160.0,2,0,0.000189565,0.000168613
47780.484,197001,160.0,2,0,0.0001945499999999,0.000165618
48080.625,198236,160.0,2,0,0.000184575,0.000156638
48381.141,199473,160.0,2,0,0.0001795875,0.000155641
300.641,1542,160.0,2,1,0.00021247,0.000195671
600.656,2777,160.0,2,1,0.0002248199999999,0.0001976449999999
901.156,4014,160.0,2,1,0.0002198824999999,0.0001986349999999
1201.391,5249,160.0,2,1,0.0002272925,0.000203575
1502.0,6489,160.0,2,1,0.0002198799999999,0.0001966549999999
1802.844,7725,160.0,2,1,0.0002272924999999,0.0002045609999999
2103.875,8966,160.0,2,1,0.0002347024999999,0.0002055519999999
2404.297,10202,160.0,2,1,0.0002198824999999,0.00019962
2704.5,11439,160.0,2,1,0.00021988,0.000196658
3004.625,12676,160.0,2,1,0.0002100024999999,0.000189741
3305.391,13913,160.0,2,1,0.0002198799999999,0.0001927049999999
